,Player_ID,Name,YrStart,YrEnd,Pos,Height,Weight,Birth_date,College
1162,englech01,Chris Engler,1983,1988,C,6-11,245,"March 1, 1959",University of Wyoming
1163,englewa01,Wayne Englestad,1989,1989,F,6-8,245,"December 6, 1966","University of California, Irvine"
1164,engliaj01,A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
1165,englial01,Alex English,1977,1991,F,6-7,190,"January 5, 1954",University of South Carolina
1166,englicl01,Claude English,1971,1971,F,6-4,185,"December 26, 1946",University of Rhode Island
1167,englijo01,Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",University of South Carolina
1168,engliki01,Kim English,2013,2013,G,6-6,200,"September 24, 1988",University of Missouri
1169,englisc01,Scott English,1973,1975,F,6-6,205,"October 20, 1950",University of Texas at El Paso
1170,engluge01,Gene Englund,1950,1950,F-C,6-5,205,"October 21, 1917",University of Wisconsin
1171,ennisja01,James Ennis,2015,2018,F,6-7,210,"July 1, 1990","California State University, Long Beach"
1172,ennisty01,Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse University
1173,eppsra01,Ray Epps,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State University
1174,erdense01,Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",
1175,eriasbo01,Bo Erias,1958,1958,F,6-3,220,"July 30, 1932",Niagara University
1176,erickke01,Keith Erickson,1966,1977,F-G,6-5,195,"April 19, 1944","University of California, Los Angeles"
1177,ervinju01,Julius Erving,1972,1987,F-G,6-7,210,"February 22, 1950",University of Massachusetts Amherst
1178,eschmev01,Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern University
1179,eskrija01,Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",University of Kansas
1180,esposvi01,Vincenzo Esposito,1996,1996,G,6-3,198,"January 3, 1969",
1181,evansbi01,Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College
1182,evansbo01,Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler University
1183,evansbr01,Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana University
1184,evansea01,Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","University of Nevada, Las Vegas"
1185,evansja01,Jawun Evans,2018,2018,G,6-0,185,"July 26, 1996",Oklahoma State University
1186,evansje01,Jeremy Evans,2011,2016,F,6-9,200,"October 24, 1987",Western Kentucky University
1187,evansma01,Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978",University of Texas at Austin
1188,evansmi01,Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State University
1189,evansre01,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa
1190,evansty01,Tyreke Evans,2010,2018,G-F,6-6,220,"September 19, 1989",University of Memphis
1191,ewingda01,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke University
1192,ewingpa01,Patrick Ewing,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown University
1193,ewingpa02,Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984",Georgetown University
1194,exumda01,Dante Exum,2015,2017,G,6-6,190,"July 13, 1995",
1195,eyengch01,Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",
1196,ezelife01,Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt University
1197,ezersjo01,Johnny Ezersky,1948,1950,F-G,6-3,175,"March 21, 1922",University of Rhode Island
1198,fabeljo01,Joe Fabel,1947,1947,F-G,6-1,190,"September 4, 1913",University of Pittsburgh
1199,faircjo01,John Fairchild,1966,1970,F,6-8,205,"April 28, 1943",Brigham Young University
1200,farbmph01,Phil Farbman,1949,1949,F,6-1,185,"April 3, 1924",City College of New York
1201,farieke01,Kenneth Faried,2012,2018,F,6-8,228,"November 19, 1989",Morehead State University
1202,farledi01,Dick Farley,1955,1959,G-F,6-4,190,"April 13, 1932",Indiana University
1203,farmajo01,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986","University of California, Los Angeles"
1204,farmede01,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",University of Southern California
1205,farmeji01,Jim Farmer,1988,1994,G,6-4,190,"September 23, 1964",University of Alabama
1206,farmemi01,Mike Farmer,1959,1966,F,6-7,210,"September 26, 1936",University of San Francisco
1207,farmeto01,Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970",University of Nebraska
1208,faughbo01,Bob Faught,1947,1947,F,6-5,185,"September 2, 1921",University of Notre Dame
1209,favervi01,Vitor Faverani,2014,2014,C,6-11,260,"May 5, 1988",
1210,favorde01,Derrick Favors,2011,2018,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology
1211,fazekni01,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985","University of Nevada, Reno"
1212,fedorda01,Dave Fedor,1963,1963,F,6-6,190,"December 10, 1940",Florida State University
1213,feeribo01,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara University
1214,feherbu01,Butch Feher,1977,1977,G,6-4,185,"May 19, 1954",Vanderbilt University
1215,feickja01,Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State University
1216,feierro01,Ron Feiereisel,1956,1956,G,6-3,185,"August 6, 1931",DePaul University
1217,feigege01,George Feigenbaum,1950,1953,G,6-1,185,"July 2, 1929",University of Kentucky
1218,feitlda01,Dave Feitl,1987,1992,C,6-11,235,"June 8, 1962",University of Texas at El Paso
1219,feldeka01,Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland University
1220,feliccr01,Cristiano Felicio,2016,2018,F-C,6-10,275,"July 7, 1992",
1221,felixca01,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State University
1222,felixno01,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981","California State University, Fresno"
1223,felixra01,Ray Felix,1954,1962,C,6-11,220,"December 10, 1930",Long Island University
1224,feltora01,Raymond Felton,2006,2018,G,6-1,205,"June 26, 1984",University of North Carolina
1225,fendlja01,Jake Fendley,1952,1953,G,6-0,180,"June 12, 1929",Northwestern University
1226,fenlewa01,Warren Fenley,1947,1947,F,6-3,190,"February 8, 1922",Manhattan College
